,FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,VintagePrice,WinePrice,VintageRatingPriceRatio,WineRatingPriceRatio
2772,Rupert & Rothschild Baroness Nadine 2012,Rupert & Rothschild,Baroness Nadine,2012,South African,Chardonnay,4.1,410.0,4.1,3517.0,22.015,22.015,0.1862366568248921,0.1862366568248921
3321,Newton Johnson Family Vineyards Chardonnay 2016,Newton Johnson,Family Vineyards Chardonnay,2016,South African,Chardonnay,4.3,162.0,4.2,844.0,25.5,25.5,0.16862745098039214,0.16470588235294115
3323,Lismore Sauvignon Blanc 2017,Lismore,Sauvignon Blanc,2017,South African,Sauvignon Blanc,4.3,97.0,4.0,433.0,20.28,20.28,0.2120315581854043,0.1972386587771203
3327,Journey's End Destination Chardonnay 2017,Journey's End,Destination Chardonnay,2017,South African,Chardonnay,4.3,44.0,4.3,432.0,20.5,20.5,0.2097560975609756,0.2097560975609756
3334,Meerlust Chardonnay 2017,Meerlust,Chardonnay,2017,South African,Chardonnay,4.2,528.0,4.0,2948.0,23.99,23.99,0.17507294706127555,0.16673614005835766
3343,DeMorgenzon Reserve Chenin Blanc 2017,DeMorgenzon,Reserve Chenin Blanc,2017,South African,Chenin Blanc,4.2,245.0,4.2,1757.0,26.65,26.65,0.1575984990619137,0.1575984990619137
3344,Hamilton Russell Vineyards Chardonnay 2018,Hamilton Russell Vineyards,Chardonnay,2018,South African,Chardonnay,4.2,224.0,4.1,5375.0,27.15,27.15,0.1546961325966851,0.15101289134438306
3352,Kleine Zalze Family Reserve Chenin Blanc 2015,Kleine Zalze,Family Reserve Chenin Blanc,2015,South African,Chenin Blanc,4.2,144.0,4.2,456.0,24.99,24.99,0.16806722689075632,0.16806722689075632
3355,Bouchard Finlayson Missionvale Chardonnay 2016,Bouchard Finlayson,Missionvale Chardonnay,2016,South African,Chardonnay,4.2,113.0,4.0,640.0,22.5,22.5,0.18666666666666668,0.17777777777777778
3359,Lismore Chardonnay 2016,Lismore,Chardonnay,2016,South African,Chardonnay,4.2,98.0,4.2,639.0,23.41,23.41,0.17941050832977362,0.17941050832977362
3360,Cederberg Five Generations Chenin Blanc 2016,Cederberg,Five Generations Chenin Blanc,2016,South African,Chenin Blanc,4.2,98.0,4.2,564.0,25.45,25.45,0.1650294695481336,0.1650294695481336
3368,Chamonix Reserve Chardonnay 2014,Chamonix,Reserve Chardonnay,2014,South African,Chardonnay,4.2,62.0,4.0,469.0,23.7,23.7,0.17721518987341772,0.16877637130801687
3371,Kleine Zalze Family Reserve Chenin Blanc 2014,Kleine Zalze,Family Reserve Chenin Blanc,2014,South African,Chenin Blanc,4.2,51.0,4.2,456.0,24.99,24.99,0.16806722689075632,0.16806722689075632
3392,Rupert & Rothschild Baroness Nadine 2016,Rupert & Rothschild,Baroness Nadine,2016,South African,Chardonnay,4.1,620.0,4.1,3517.0,24.99,24.99,0.1640656262505002,0.1640656262505002
3412,Crystallum The Agnes Chardonnay 2017,Crystallum,The Agnes Chardonnay,2017,South African,Chardonnay,4.1,301.0,4.0,1018.0,25.0,25.0,0.16399999999999998,0.16
3413,Waterford Estate Single Vineyard Chardonnay 2016,Waterford Estate,Single Vineyard Chardonnay,2016,South African,Chardonnay,4.1,291.0,4.0,1478.0,21.99,21.99,0.18644838562983174,0.18190086402910416
3420,Tokara Chardonnay Reserve Collection 2018,Tokara,Chardonnay Reserve Collection,2018,South African,Chardonnay,4.1,224.0,4.0,1948.0,20.99,20.99,0.19533111005240592,0.1905669366364936
3423,Warwick White Lady 2016,Warwick,White Lady,2016,South African,Chardonnay,4.1,207.0,4.1,1029.0,20.75,20.75,0.19759036144578312,0.19759036144578312
3450,Spier 21 Gables Chenin Blanc 2017,Spier,21 Gables Chenin Blanc,2017,South African,Chenin Blanc,4.1,112.0,4.2,2405.0,20.92,20.92,0.1959847036328872,0.20076481835564053
3460,Holden Manz Barrel Fermented Chardonnay 2018,Holden Manz,Barrel Fermented Chardonnay,2018,South African,Chardonnay,4.1,93.0,4.0,446.0,23.99,23.99,0.17090454355981655,0.16673614005835766
3465,Botanica Chenin Blanc 2014,Botanica,Chenin Blanc,2014,South African,Chenin Blanc,4.1,81.0,4.0,480.0,24.0,24.0,0.1708333333333333,0.16666666666666666
3478,Klein Constantia Perdeblokke Sauvignon Blanc 2015,Klein Constantia,Perdeblokke Sauvignon Blanc,2015,South African,Sauvignon Blanc,4.1,70.0,4.1,320.0,24.95,24.95,0.16432865731462926,0.16432865731462926
3481,Bosman Family Vineyards Optenhorst Chenin Blanc 2016,Bosman Family Vineyards,Optenhorst Chenin Blanc,2016,South African,Chenin Blanc,4.1,64.0,4.1,295.0,22.0,22.0,0.18636363636363634,0.18636363636363634
3485,Arendsig Inspirational Batch 3 Chenin Blanc 2017,Arendsig,Inspirational Batch 3 Chenin Blanc,2017,South African,Chenin Blanc,4.1,56.0,4.2,180.0,20.11,20.11,0.2038786673296867,0.208851317752362
3486,Warwick White Lady 2018,Warwick,White Lady,2018,South African,Chardonnay,4.1,53.0,4.1,1029.0,20.69,20.69,0.19816336394393425,0.19816336394393425
3493,Gabriëlskloof The Landscape Series Elodie 2017,Gabriëlskloof,The Landscape Series Elodie,2017,South African,Chenin Blanc,4.1,30.0,4.0,195.0,24.99,24.99,0.1640656262505002,0.1600640256102441
3546,Delaire Graff Chardonnay Banghoek Reserve 2018,Delaire Graff,Chardonnay Banghoek Reserve,2018,South African,Chardonnay,4.0,191.0,4.0,1274.0,20.0,20.0,0.2,0.2
3551,Ataraxia Chardonnay 2017,Ataraxia,Chardonnay,2017,South African,Chardonnay,4.0,181.0,4.1,2178.0,24.95,24.95,0.16032064128256512,0.16432865731462926
3562,Kleine Zalze Family Reserve Sauvignon Blanc 2016,Kleine Zalze,Family Reserve Sauvignon Blanc,2016,South African,Sauvignon Blanc,4.0,141.0,4.1,764.0,20.4,20.4,0.19607843137254904,0.20098039215686275
